region,sex,enddate,ethnicity,age,vote
East of England,male,2015-04-30,white,Age 30 to 34,Don't know
East of England,male,2015-04-19,white,Age 40 to 44,Con
East of England,female,2015-04-26,white,Age 45 to 49,Con
East of England,female,2015-05-02,white,Age 35 to 39,Con
East of England,female,2015-05-02,white,Age 35 to 39,Other
East of England,female,2015-04-04,white,Age 20 to 24,LD
East of England,male,2015-04-10,white,Age 40 to 44,Con
East of England,male,2015-04-21,white,Age 40 to 44,Grn
East of England,female,2015-04-16,white,Age 45 to 49,Lab
East of England,female,2015-03-31,white,Age 70 to 74,Lab
East of England,female,2015-05-03,white,Age 65 to 69,UKIP
East of England,male,2015-04-17,white,Age 80 to 84,UKIP
East of England,male,2015-04-26,white,Age 65 to 69,LD
East of England,female,2015-04-24,white,Age 50 to 54,Con
East of England,male,2015-04-20,white,Age 40 to 44,LD
East of England,female,2015-04-01,white,Age 55 to 59,Con
East of England,male,2015-05-04,white,Age 50 to 54,Lab
East of England,female,2015-04-27,white,Age 60 to 64,Grn
East of England,female,2015-04-17,white,Age 70 to 74,Con
East of England,male,2015-05-05,white,Age 45 to 49,Con
East of England,female,2015-04-21,white,Age 55 to 59,Con
East of England,male,2015-04-23,white,Age 60 to 64,Other
East of England,male,2015-04-10,white,Age 50 to 54,Lab
East of England,female,2015-04-17,white,Age 55 to 59,Con
East of England,female,2015-04-02,white,Age 25 to 29,Lab
East of England,male,2015-04-15,white,Age 65 to 69,UKIP
East of England,male,2015-04-18,white,Age 25 to 29,Con
East of England,male,2015-04-13,white,Age 70 to 74,Con
East of England,female,2015-04-19,white,Age 65 to 69,Lab
East of England,female,2015-04-06,white,Age 65 to 69,Con
East of England,male,2015-04-25,white,Age 40 to 44,Lab
East of England,male,2015-05-05,white,Age 70 to 74,Con
East of England,male,2015-04-20,white,Age 35 to 39,Grn
East of England,female,2015-05-03,white,Age 50 to 54,Con
East of England,male,2015-05-06,white,Age 75 to 79,Con
London,female,2015-03-31,white,Age 55 to 59,Don't know
London,female,2015-04-30,white,Age 20 to 24,Lab
London,female,2015-04-03,white,Age 55 to 59,Con
London,female,2015-04-15,white,Age 60 to 64,Con
London,male,2015-04-01,mixed,Age 20 to 24,Lab
London,male,2015-03-31,white,Age 50 to 54,Lab
London,male,2015-04-16,white,Age 35 to 39,Con
London,male,2015-05-05,black,Age 40 to 44,Lab
London,female,2015-04-21,black,Age 20 to 24,Lab
London,male,2015-04-11,white,Age 65 to 69,UKIP
London,female,2015-04-01,other,Age 25 to 29,Don't vote
London,male,2015-03-30,white,Age 65 to 69,Con
London,female,2015-04-10,white,Age 65 to 69,Con
London,male,2015-04-07,white,Age 35 to 39,Con
London,male,2015-05-03,white,Age 65 to 69,Lab
London,male,2015-04-14,white,Age 50 to 54,Don't know
London,male,2015-05-04,white,Age 50 to 54,UKIP
London,female,2015-04-19,white,Age 45 to 49,Con
London,female,2015-04-14,white,Age 65 to 69,UKIP
London,female,2015-04-27,white,Age 20 to 24,Lab
London,female,2015-04-04,white,Age 20 to 24,Don't vote
London,male,2015-04-21,white,Age 40 to 44,Con
London,female,2015-04-16,white,Age 50 to 54,Grn
London,male,2015-05-05,white,Age 60 to 64,Con
London,female,2015-05-06,white,Age 60 to 64,UKIP
London,male,2015-04-09,white,Age 55 to 59,LD
London,female,2015-04-03,white,Age 60 to 64,Lab
London,female,2015-04-17,white,Age 50 to 54,Don't know
London,male,2015-04-12,white,Age 60 to 64,Con
London,female,2015-04-14,white,Age 60 to 64,Con
London,male,2015-04-21,white,Age 40 to 44,Lab
London,female,2015-04-18,white,Age 40 to 44,Lab
London,male,2015-05-01,white,Age 55 to 59,Grn
London,female,2015-04-11,white,Age 50 to 54,UKIP
London,female,2015-04-08,white,Age 60 to 64,Con
London,female,2015-04-08,white,Age 55 to 59,Con
London,female,2015-05-04,white,Age 65 to 69,Lab
London,female,2015-04-13,white,Age 50 to 54,Lab
London,female,2015-05-06,white,Age 60 to 64,Lab
London,female,2015-04-04,white,Age 35 to 39,LD
London,male,2015-04-07,white,Age 55 to 59,UKIP
London,male,2015-04-03,white,Age 70 to 74,UKIP
London,male,2015-04-27,white,Age 35 to 39,Con
London,female,2015-04-27,white,Age 18 to 19,Lab
London,male,2015-04-25,white,Age 55 to 59,UKIP
London,male,2015-04-25,white,Age 45 to 49,UKIP
London,female,2015-04-29,white,Age 55 to 59,UKIP
West Midlands,male,2015-04-26,white,Age 70 to 74,Other
West Midlands,female,2015-04-24,white,Age 45 to 49,Don't know
West Midlands,male,2015-04-17,white,Age 20 to 24,Con
West Midlands,male,2015-04-02,white,Age 25 to 29,Don't know
West Midlands,female,2015-04-22,white,Age 30 to 34,Lab
West Midlands,female,2015-04-28,white,Age 45 to 49,Lab
West Midlands,male,2015-04-28,white,Age 30 to 34,Lab
West Midlands,male,2015-04-10,white,Age 45 to 49,Other
West Midlands,male,2015-04-08,white,Age 80 to 84,Grn
West Midlands,male,2015-04-29,white,Age 70 to 74,Don't know
West Midlands,female,2015-03-31,white,Age 60 to 64,Other
West Midlands,female,2015-04-01,white,Age 70 to 74,LD
West Midlands,female,2015-04-24,white,Age 20 to 24,Don't vote
West Midlands,female,2015-04-15,asian,Age 70 to 74,Con
West Midlands,female,2015-04-04,white,Age 75 to 79,Con
West Midlands,male,2015-04-24,white,Age 45 to 49,UKIP
West Midlands,male,2015-04-24,white,Age 60 to 64,UKIP
West Midlands,male,2015-04-02,white,Age 40 to 44,Lab
West Midlands,male,2015-05-01,white,Age 20 to 24,Grn
West Midlands,female,2015-04-16,white,Age 65 to 69,Lab
West Midlands,female,2015-04-01,white,Age 30 to 34,Lab
West Midlands,female,2015-04-26,white,Age 85 and over,LD
West Midlands,male,2015-04-04,white,Age 75 to 79,Don't know
West Midlands,female,2015-04-25,white,Age 50 to 54,Lab
West Midlands,female,2015-04-03,white,Age 18 to 19,Lab
West Midlands,female,2015-04-08,white,Age 20 to 24,Don't vote
West Midlands,female,2015-04-30,white,Age 65 to 69,Lab
West Midlands,male,2015-04-01,white,Age 55 to 59,UKIP
West Midlands,male,2015-04-05,white,Age 60 to 64,Lab
West Midlands,male,2015-04-02,white,Age 55 to 59,Lab
West Midlands,male,2015-04-19,white,Age 70 to 74,Con
West Midlands,female,2015-04-21,white,Age 20 to 24,Lab
West Midlands,male,2015-04-04,white,Age 55 to 59,Con
West Midlands,female,2015-04-16,white,Age 20 to 24,Lab
East of England,female,2015-04-08,white,Age 80 to 84,Con
East of England,female,2015-04-19,white,Age 50 to 54,UKIP
East of England,male,2015-04-19,white,Age 65 to 69,UKIP
East of England,male,2015-04-16,other,Age 65 to 69,LD
East of England,female,2015-03-30,white,Age 18 to 19,LD
East of England,female,2015-04-04,white,Age 70 to 74,Lab
East of England,male,2015-04-26,white,Age 50 to 54,Grn
East of England,female,2015-04-13,white,Age 45 to 49,Con
East of England,male,2015-04-15,white,Age 45 to 49,UKIP
East of England,male,2015-04-02,white,Age 30 to 34,Con
East of England,male,2015-04-30,white,Age 55 to 59,Con
East of England,female,2015-04-27,white,Age 65 to 69,UKIP
East of England,female,2015-04-04,white,Age 50 to 54,Lab
East of England,male,2015-04-28,white,Age 60 to 64,Lab
East of England,male,2015-04-12,white,Age 45 to 49,Con
East of England,female,2015-04-06,white,Age 30 to 34,Con
East of England,male,2015-04-02,white,Age 45 to 49,Con
East of England,male,2015-04-10,white,Age 50 to 54,Con
East of England,female,2015-04-09,white,Age 30 to 34,Con
East of England,female,2015-04-03,white,Age 70 to 74,Lab
East of England,female,2015-04-03,white,Age 65 to 69,Con
East of England,male,2015-05-01,white,Age 55 to 59,Lab
East of England,female,2015-05-04,white,Age 45 to 49,Don't vote
East of England,female,2015-04-27,white,Age 20 to 24,Don't know
East of England,male,2015-04-12,white,Age 65 to 69,Lab
East of England,male,2015-04-08,white,Age 60 to 64,Don't know
East of England,female,2015-05-06,white,Age 45 to 49,UKIP
East of England,male,2015-04-08,white,Age 45 to 49,UKIP
East of England,female,2015-04-27,white,Age 55 to 59,Con
East of England,female,2015-04-04,white,Age 70 to 74,Con
East of England,female,2015-03-31,white,Age 20 to 24,Don't know
East of England,male,2015-04-13,white,Age 50 to 54,UKIP
East of England,male,2015-04-02,white,Age 50 to 54,LD
East of England,male,2015-05-04,white,Age 55 to 59,Lab
East of England,female,2015-04-27,white,Age 20 to 24,Lab
East of England,male,2015-04-02,white,Age 55 to 59,UKIP
East of England,male,2015-04-26,white,Age 55 to 59,Con
East of England,female,2015-04-20,white,Age 45 to 49,Lab
East of England,female,2015-04-24,white,Age 80 to 84,UKIP
East of England,female,2015-04-25,white,Age 60 to 64,Lab
East of England,male,2015-04-17,white,Age 60 to 64,Con
East of England,male,2015-04-25,white,Age 30 to 34,Con
East of England,female,2015-04-25,white,Age 60 to 64,Con
East of England,male,2015-04-16,white,Age 35 to 39,Con
East of England,male,2015-04-17,white,Age 65 to 69,UKIP
East Midlands,male,2015-04-17,white,Age 60 to 64,Con
East Midlands,female,2015-03-31,white,Age 20 to 24,Con
East Midlands,female,2015-05-06,white,Age 50 to 54,Con
East Midlands,female,2015-04-27,white,Age 55 to 59,Lab
East Midlands,female,2015-05-01,white,Age 20 to 24,Lab
East Midlands,male,2015-05-04,white,Age 20 to 24,Lab
East Midlands,male,2015-03-30,white,Age 30 to 34,Lab
East Midlands,female,2015-04-28,white,Age 18 to 19,UKIP
East Midlands,male,2015-04-28,white,Age 45 to 49,Lab
East Midlands,male,2015-04-30,white,Age 40 to 44,UKIP
East Midlands,female,2015-04-28,white,Age 60 to 64,Lab
East Midlands,female,2015-04-05,white,Age 55 to 59,UKIP
East Midlands,male,2015-04-24,white,Age 50 to 54,Con
East Midlands,female,2015-05-03,white,Age 60 to 64,Con
East Midlands,female,2015-04-18,white,Age 30 to 34,Con
East Midlands,male,2015-04-04,white,Age 45 to 49,UKIP
East Midlands,female,2015-05-02,white,Age 40 to 44,LD
East Midlands,female,2015-04-04,white,Age 40 to 44,Con
East Midlands,female,2015-04-27,white,Age 45 to 49,Con
East Midlands,female,2015-05-02,white,Age 20 to 24,Lab
East Midlands,male,2015-04-12,white,Age 25 to 29,Grn
East Midlands,male,2015-04-28,white,Age 60 to 64,Con
East Midlands,female,2015-04-17,white,Age 18 to 19,Don't know
East Midlands,male,2015-04-30,white,Age 70 to 74,Con
East Midlands,male,2015-05-02,white,Age 40 to 44,Don't know
East Midlands,male,2015-04-02,white,Age 65 to 69,Lab
East Midlands,female,2015-04-15,white,Age 20 to 24,Lab
East Midlands,male,2015-04-17,white,Age 65 to 69,Con
East Midlands,female,2015-05-01,white,Age 65 to 69,Con
East Midlands,male,2015-04-23,asian,Age 75 to 79,Lab
East Midlands,male,2015-04-27,white,Age 45 to 49,UKIP
East Midlands,female,2015-04-01,white,Age 60 to 64,Con
East Midlands,female,2015-04-30,white,Age 40 to 44,UKIP
East Midlands,male,2015-05-01,white,Age 20 to 24,LD
East Midlands,male,2015-03-30,white,Age 70 to 74,Con
East Midlands,male,2015-05-05,white,Age 35 to 39,Don't know
East Midlands,male,2015-04-19,white,Age 20 to 24,Lab
East Midlands,male,2015-04-02,white,Age 70 to 74,Lab
East Midlands,female,2015-05-05,white,Age 45 to 49,Lab
East Midlands,male,2015-05-05,white,Age 45 to 49,Lab
East Midlands,female,2015-04-17,white,Age 18 to 19,Lab
East Midlands,male,2015-04-13,white,Age 20 to 24,Con
East Midlands,male,2015-04-13,white,Age 50 to 54,Lab
North West,female,2015-04-28,mixed,Age 18 to 19,Lab
East Midlands,female,2015-04-09,white,Age 55 to 59,Con
East Midlands,male,2015-04-04,white,Age 55 to 59,Con
East Midlands,male,2015-04-30,white,Age 50 to 54,Lab
East Midlands,male,2015-04-07,white,Age 25 to 29,Con
East Midlands,male,2015-04-18,white,Age 65 to 69,Lab
East Midlands,female,2015-03-30,white,Age 60 to 64,Con
East Midlands,female,2015-04-19,white,Age 60 to 64,LD
East Midlands,female,2015-03-31,white,Age 18 to 19,Don't know
East Midlands,male,2015-04-29,white,Age 80 to 84,Lab
East Midlands,male,2015-05-04,white,Age 20 to 24,UKIP
East Midlands,female,2015-04-22,white,Age 50 to 54,UKIP
East Midlands,female,2015-04-02,white,Age 35 to 39,LD
East Midlands,female,2015-04-13,white,Age 65 to 69,Con
South East,male,2015-03-31,white,Age 35 to 39,Other
South East,female,2015-04-30,white,Age 60 to 64,LD
South East,female,2015-05-03,white,Age 55 to 59,Other
South East,female,2015-04-23,white,Age 55 to 59,UKIP
South East,female,2015-05-01,white,Age 45 to 49,Con
South East,female,2015-04-25,white,Age 65 to 69,Other
South East,male,2015-04-27,white,Age 55 to 59,Other
South East,male,2015-04-02,white,Age 20 to 24,Grn
South East,female,2015-05-04,white,Age 55 to 59,Con
South East,female,2015-04-07,white,Age 65 to 69,Con
South East,female,2015-04-24,white,Age 65 to 69,Con
South East,female,2015-04-04,white,Age 55 to 59,Other
South East,male,2015-04-28,white,Age 80 to 84,Other
South East,female,2015-05-03,white,Age 20 to 24,Grn
South East,male,2015-04-27,white,Age 65 to 69,Grn
South East,male,2015-04-28,white,Age 60 to 64,Don't know
South East,female,2015-05-03,white,Age 50 to 54,Don't vote
South East,female,2015-04-04,white,Age 55 to 59,Lab
South East,male,2015-04-30,white,Age 35 to 39,Don't know
South East,female,2015-04-19,white,Age 60 to 64,Grn
South East,male,2015-04-29,white,Age 35 to 39,Con
South East,female,2015-04-14,white,Age 70 to 74,Con
South East,female,2015-04-26,white,Age 35 to 39,Con
South East,male,2015-04-30,white,Age 50 to 54,Other
South East,female,2015-04-23,white,Age 35 to 39,UKIP
South East,female,2015-05-04,white,Age 55 to 59,Other
South East,male,2015-04-01,white,Age 30 to 34,Con
South East,male,2015-04-07,white,Age 55 to 59,Con
North West,male,2015-05-06,white,Age 70 to 74,Lab
North West,male,2015-04-14,white,Age 65 to 69,Lab
North West,female,2015-04-29,white,Age 50 to 54,Don't vote
North West,male,2015-04-02,white,Age 40 to 44,UKIP
North West,female,2015-03-30,white,Age 70 to 74,Lab
North West,male,2015-04-28,white,Age 40 to 44,Don't know
North West,female,2015-04-12,white,Age 60 to 64,Lab
North West,female,2015-04-05,white,Age 20 to 24,Lab
North West,male,2015-04-14,white,Age 35 to 39,UKIP
North West,male,2015-05-05,white,Age 25 to 29,Con
North West,female,2015-05-01,white,Age 40 to 44,Don't vote
North West,female,2015-04-22,white,Age 50 to 54,Lab
North West,female,2015-04-16,white,Age 35 to 39,Lab
North West,female,2015-04-18,white,Age 50 to 54,Don't know
North West,male,2015-05-05,white,Age 50 to 54,Lab
North West,female,2015-04-04,white,Age 40 to 44,UKIP
North West,male,2015-04-20,white,Age 55 to 59,Con
North West,male,2015-04-09,white,Age 25 to 29,Con
North West,male,2015-04-25,white,Age 55 to 59,Lab
North West,male,2015-04-27,white,Age 70 to 74,Lab
North West,female,2015-05-02,white,Age 45 to 49,UKIP
West Midlands,male,2015-04-30,white,Age 60 to 64,Con
West Midlands,male,2015-04-21,white,Age 30 to 34,Lab
West Midlands,male,2015-04-23,white,Age 50 to 54,UKIP
West Midlands,male,2015-04-25,white,Age 65 to 69,Don't know
West Midlands,female,2015-04-24,white,Age 60 to 64,Con
West Midlands,male,2015-04-06,white,Age 45 to 49,Con
West Midlands,female,2015-04-01,white,Age 40 to 44,Lab
West Midlands,female,2015-04-04,white,Age 35 to 39,UKIP
West Midlands,female,2015-05-01,white,Age 65 to 69,Lab
West Midlands,male,2015-04-25,white,Age 35 to 39,Don't vote
West Midlands,male,2015-04-27,other,Age 65 to 69,UKIP
West Midlands,female,2015-04-06,white,Age 50 to 54,Lab
West Midlands,male,2015-04-11,white,Age 55 to 59,Lab
West Midlands,female,2015-03-30,white,Age 30 to 34,Lab
West Midlands,female,2015-04-01,white,Age 35 to 39,Con
West Midlands,female,2015-03-31,white,Age 60 to 64,Con
West Midlands,male,2015-04-24,white,Age 55 to 59,Con
West Midlands,female,2015-04-02,white,Age 25 to 29,Don't know
West Midlands,female,2015-04-05,white,Age 18 to 19,Don't vote
West Midlands,female,2015-04-05,white,Age 65 to 69,Con
West Midlands,female,2015-04-18,white,Age 30 to 34,UKIP
West Midlands,female,2015-03-30,white,Age 65 to 69,Lab
West Midlands,male,2015-04-30,white,Age 30 to 34,Con
West Midlands,female,2015-05-03,white,Age 20 to 24,Con
West Midlands,female,2015-04-11,white,Age 20 to 24,Con
West Midlands,male,2015-04-30,white,Age 55 to 59,UKIP
West Midlands,female,2015-04-13,white,Age 60 to 64,Lab
West Midlands,female,2015-04-09,white,Age 50 to 54,Lab
West Midlands,male,2015-04-09,white,Age 45 to 49,Lab
West Midlands,male,2015-03-31,white,Age 65 to 69,Con
West Midlands,male,2015-04-01,white,Age 20 to 24,Don't know
West Midlands,male,2015-04-28,white,Age 55 to 59,Lab
West Midlands,male,2015-04-10,white,Age 65 to 69,Con
West Midlands,female,2015-05-02,white,Age 18 to 19,Lab
West Midlands,female,2015-04-13,white,Age 65 to 69,Lab
West Midlands,male,2015-05-06,white,Age 20 to 24,Lab
West Midlands,female,2015-04-14,white,Age 25 to 29,Don't vote
West Midlands,female,2015-04-10,white,Age 25 to 29,Lab
West Midlands,female,2015-04-12,white,Age 20 to 24,Con
West Midlands,female,2015-04-12,white,Age 45 to 49,Lab
North West,male,2015-05-05,white,Age 45 to 49,UKIP
North West,male,2015-05-06,white,Age 70 to 74,Don't know
North West,female,2015-04-27,white,Age 60 to 64,Lab
North West,female,2015-04-03,white,Age 35 to 39,UKIP
North West,female,2015-03-30,white,Age 18 to 19,Grn
North West,female,2015-04-28,white,Age 25 to 29,Con
North West,male,2015-03-31,white,Age 55 to 59,Don't know
North West,male,2015-05-04,white,Age 55 to 59,Don't vote
North West,female,2015-04-30,white,Age 70 to 74,Con
North West,female,2015-04-02,white,Age 35 to 39,Lab
North West,female,2015-04-09,white,Age 40 to 44,Lab
North West,female,2015-04-15,white,Age 20 to 24,Grn
North West,male,2015-04-29,white,Age 65 to 69,Con
North West,female,2015-04-12,white,Age 55 to 59,Don't know
North West,male,2015-04-30,white,Age 18 to 19,Con
North West,female,2015-04-04,white,Age 70 to 74,LD
North West,male,2015-04-29,white,Age 70 to 74,Lab
North West,female,2015-04-02,white,Age 60 to 64,Lab
North West,male,2015-04-02,white,Age 20 to 24,Con
North West,female,2015-04-09,white,Age 35 to 39,Lab
North West,male,2015-04-02,white,Age 35 to 39,Con
North West,female,2015-05-05,black,Age 30 to 34,Lab
North West,female,2015-04-09,white,Age 50 to 54,Lab
North West,female,2015-04-09,white,Age 40 to 44,Don't know
North West,male,2015-05-05,white,Age 75 to 79,Con
North West,male,2015-04-28,white,Age 25 to 29,Con
North West,male,2015-05-02,white,Age 40 to 44,UKIP
North West,female,2015-05-02,white,Age 60 to 64,Con
North West,male,2015-05-05,white,Age 60 to 64,Con
North West,male,2015-04-18,white,Age 55 to 59,Don't know
North West,female,2015-04-27,white,Age 65 to 69,Don't know
North West,male,2015-04-22,white,Age 25 to 29,Con
North West,female,2015-04-23,white,Age 20 to 24,Con
North West,male,2015-04-12,white,Age 70 to 74,Con
North West,male,2015-05-05,white,Age 65 to 69,Con
North West,female,2015-04-04,white,Age 20 to 24,Don't know
North West,female,2015-04-20,white,Age 60 to 64,Con
North West,male,2015-05-06,white,Age 65 to 69,Grn
North West,male,2015-05-05,white,Age 50 to 54,Lab
North West,female,2015-04-21,white,Age 65 to 69,Don't know
North West,female,2015-05-02,white,Age 40 to 44,Grn
North West,male,2015-05-05,white,Age 55 to 59,Lab
North West,male,2015-04-28,white,Age 55 to 59,Lab
North West,male,2015-04-17,white,Age 60 to 64,Lab
North West,male,2015-04-03,white,Age 60 to 64,Don't know
North West,female,2015-04-13,white,Age 40 to 44,Don't know
North West,female,2015-04-19,white,Age 65 to 69,Con
North West,female,2015-04-05,white,Age 65 to 69,Lab
North West,male,2015-04-11,white,Age 40 to 44,Lab
North West,male,2015-04-21,white,Age 40 to 44,UKIP
North West,male,2015-04-15,white,Age 55 to 59,Con
North West,male,2015-04-27,white,Age 60 to 64,Grn
North West,male,2015-04-17,white,Age 30 to 34,UKIP
North West,male,2015-04-26,white,Age 20 to 24,Lab
North West,female,2015-05-04,white,Age 25 to 29,Con
North West,female,2015-03-31,white,Age 65 to 69,Con
North West,female,2015-04-14,white,Age 45 to 49,Con
North West,male,2015-04-07,white,Age 60 to 64,Con
North West,male,2015-04-16,white,Age 65 to 69,Con
North West,female,2015-04-24,white,Age 65 to 69,Don't know
North West,female,2015-04-03,white,Age 65 to 69,Lab
North West,female,2015-05-02,white,Age 30 to 34,Con
North West,male,2015-05-06,asian,Age 35 to 39,Don't know
North West,male,2015-05-05,white,Age 55 to 59,Lab
North West,male,2015-03-31,white,Age 45 to 49,Con
North West,male,2015-04-23,white,Age 65 to 69,UKIP
North West,male,2015-04-13,white,Age 30 to 34,Con
North West,male,2015-04-21,white,Age 65 to 69,UKIP
North West,female,2015-04-21,white,Age 50 to 54,Don't know
North West,female,2015-04-07,mixed,Age 40 to 44,Lab
North West,male,2015-04-12,white,Age 45 to 49,Con
North West,female,2015-04-10,white,Age 55 to 59,Lab
North West,female,2015-04-27,white,Age 60 to 64,Con
North West,male,2015-04-02,white,Age 45 to 49,Con
North West,female,2015-05-03,white,Age 55 to 59,Lab
North West,female,2015-04-01,white,Age 50 to 54,Lab
North West,male,2015-04-27,white,Age 35 to 39,Grn
North West,male,2015-04-23,white,Age 40 to 44,Grn
North West,female,2015-04-01,white,Age 60 to 64,Don't know
North West,male,2015-04-23,white,Age 55 to 59,Lab
North West,female,2015-04-12,white,Age 50 to 54,Grn
North West,male,2015-04-16,white,Age 60 to 64,UKIP
North West,male,2015-04-02,white,Age 55 to 59,UKIP
North West,female,2015-04-07,white,Age 30 to 34,Don't vote
North West,female,2015-05-06,asian,Age 45 to 49,Don't vote
North West,male,2015-04-25,white,Age 50 to 54,Lab
North West,female,2015-04-12,white,Age 40 to 44,LD
North West,male,2015-04-27,white,Age 45 to 49,UKIP
North West,male,2015-05-06,white,Age 70 to 74,LD
North West,female,2015-03-30,white,Age 30 to 34,UKIP
North West,female,2015-05-04,white,Age 55 to 59,UKIP
East of England,male,2015-04-12,white,Age 70 to 74,Con
East of England,female,2015-04-01,white,Age 20 to 24,Don't know
East of England,female,2015-05-03,white,Age 55 to 59,Don't know
East of England,female,2015-04-23,white,Age 55 to 59,Don't know
East of England,male,2015-04-26,white,Age 60 to 64,UKIP
East of England,male,2015-04-24,white,Age 65 to 69,UKIP
East of England,male,2015-04-25,white,Age 35 to 39,Con
East of England,female,2015-04-04,white,Age 30 to 34,Con
East of England,male,2015-04-03,white,Age 50 to 54,Lab
East of England,male,2015-04-02,white,Age 65 to 69,Lab
East of England,male,2015-04-10,white,Age 50 to 54,Con
East of England,male,2015-04-14,white,Age 65 to 69,Con
East of England,male,2015-04-25,white,Age 70 to 74,Con
East of England,female,2015-04-29,white,Age 60 to 64,UKIP
East of England,male,2015-04-08,white,Age 60 to 64,Lab
East of England,female,2015-04-27,white,Age 25 to 29,Lab
East of England,female,2015-04-14,white,Age 55 to 59,Con
East of England,male,2015-05-04,white,Age 35 to 39,Lab
East of England,male,2015-04-06,white,Age 20 to 24,Lab
East of England,female,2015-04-06,white,Age 65 to 69,Con
East of England,male,2015-04-07,white,Age 65 to 69,LD
East of England,male,2015-04-05,white,Age 30 to 34,Lab
East of England,female,2015-04-07,white,Age 50 to 54,Con
East of England,male,2015-04-19,white,Age 55 to 59,UKIP
East of England,female,2015-04-19,white,Age 45 to 49,UKIP
East of England,male,2015-04-23,white,Age 75 to 79,UKIP
East of England,male,2015-04-07,white,Age 40 to 44,UKIP
East of England,female,2015-05-01,white,Age 45 to 49,UKIP
East of England,male,2015-04-29,white,Age 60 to 64,UKIP
East of England,male,2015-05-04,white,Age 45 to 49,UKIP
East of England,male,2015-04-01,white,Age 65 to 69,Lab
East of England,female,2015-04-06,white,Age 65 to 69,Lab
East of England,male,2015-04-12,white,Age 20 to 24,Lab
East of England,female,2015-03-30,white,Age 55 to 59,Con
East of England,female,2015-04-28,white,Age 70 to 74,Other
East of England,female,2015-03-30,white,Age 60 to 64,Con
East of England,male,2015-04-04,white,Age 55 to 59,Con
East of England,female,2015-04-07,white,Age 30 to 34,Lab
East of England,male,2015-04-09,white,Age 70 to 74,Con
East of England,male,2015-04-19,white,Age 65 to 69,Don't vote
East of England,male,2015-05-01,white,Age 18 to 19,Lab
East of England,male,2015-04-30,white,Age 50 to 54,Grn
East of England,male,2015-05-06,white,Age 50 to 54,UKIP
East of England,male,2015-04-05,white,Age 65 to 69,Lab
East of England,female,2015-04-23,white,Age 55 to 59,Lab
Wales,female,2015-04-10,white,Age 75 to 79,Lab
Wales,female,2015-04-23,white,Age 20 to 24,Don't vote
Wales,female,2015-04-13,white,Age 45 to 49,Lab
Wales,female,2015-04-14,white,Age 65 to 69,PC
Wales,female,2015-04-06,white,Age 50 to 54,Lab
Wales,male,2015-04-07,white,Age 65 to 69,Lab
Wales,male,2015-05-02,white,Age 55 to 59,UKIP
Wales,female,2015-04-10,white,Age 20 to 24,Lab
Wales,male,2015-04-10,white,Age 60 to 64,UKIP
Wales,male,2015-05-03,white,Age 35 to 39,UKIP
Wales,female,2015-05-02,white,Age 35 to 39,Lab
Wales,female,2015-04-09,white,Age 75 to 79,Lab
Wales,male,2015-04-10,white,Age 65 to 69,Don't know
Wales,male,2015-04-29,white,Age 35 to 39,Don't vote
Wales,male,2015-04-29,white,Age 35 to 39,Lab
Wales,male,2015-04-10,white,Age 65 to 69,Lab
Wales,male,2015-03-31,white,Age 60 to 64,UKIP
Wales,female,2015-04-19,white,Age 65 to 69,UKIP
Wales,female,2015-05-02,white,Age 55 to 59,Don't vote
Wales,male,2015-05-05,white,Age 20 to 24,Lab
Wales,male,2015-04-08,white,Age 70 to 74,UKIP
Wales,female,2015-04-10,white,Age 50 to 54,Don't know
Wales,male,2015-05-05,white,Age 55 to 59,Lab
Wales,male,2015-04-17,white,Age 65 to 69,Don't know
Wales,female,2015-04-28,white,Age 60 to 64,Lab
Wales,female,2015-05-04,white,Age 45 to 49,Don't know
Wales,male,2015-04-16,white,Age 40 to 44,Lab
Wales,female,2015-04-09,white,Age 50 to 54,UKIP
Wales,male,2015-04-12,white,Age 45 to 49,Con
Wales,male,2015-03-31,white,Age 60 to 64,Don't vote
Wales,female,2015-04-16,white,Age 40 to 44,Con
Wales,male,2015-05-04,white,Age 30 to 34,Lab
Wales,female,2015-04-24,white,Age 40 to 44,PC
Wales,male,2015-04-15,white,Age 65 to 69,UKIP
Wales,male,2015-05-01,white,Age 65 to 69,Con
Wales,male,2015-04-14,white,Age 80 to 84,Lab
Wales,male,2015-04-26,white,Age 70 to 74,Con
Wales,male,2015-04-24,white,Age 30 to 34,PC
Wales,female,2015-05-04,white,Age 55 to 59,Lab
Wales,female,2015-04-30,white,Age 45 to 49,Lab
Wales,male,2015-04-09,white,Age 75 to 79,Lab
Wales,female,2015-03-31,white,Age 40 to 44,Lab
Wales,female,2015-04-11,white,Age 70 to 74,Lab
Wales,female,2015-04-24,white,Age 35 to 39,Other
Wales,male,2015-04-29,white,Age 40 to 44,Con
Wales,female,2015-04-20,white,Age 75 to 79,Lab
Wales,female,2015-04-10,white,Age 65 to 69,UKIP
Wales,male,2015-03-31,white,Age 50 to 54,PC
Wales,female,2015-04-21,white,Age 20 to 24,Don't know
Wales,female,2015-04-22,white,Age 50 to 54,Lab
Wales,male,2015-05-03,white,Age 40 to 44,Lab
Wales,male,2015-04-21,white,Age 55 to 59,Lab
Wales,female,2015-04-09,white,Age 35 to 39,Don't know
Wales,female,2015-04-13,white,Age 60 to 64,UKIP
Wales,male,2015-04-06,white,Age 60 to 64,Lab
