"Population"	"Units"	"Date"	"Sex"	"Ethnic Grou"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"Wales"	"Age 75 to 79"	"number"	155	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"Wales"	"Age 80 to 84"	"number"	81	""
"All usual residents"	"Persons"	"2011"	"Males"	"Mixed/multiple ethnic group: Total"	"Wales"	"Age 85 and over"	"number"	68	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 0 to 4"	"number"	3340	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 5 to 7"	"number"	1785	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 8 to 9"	"number"	1057	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 10 to 14"	"number"	2507	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 15"	"number"	468	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 16 to 17"	"number"	981	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 18 to 19"	"number"	1237	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 20 to 24"	"number"	5907	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 25 to 29"	"number"	4429	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 30 to 34"	"number"	3904	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 35 to 39"	"number"	3551	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 40 to 44"	"number"	2671	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 45 to 49"	"number"	1832	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 50 to 54"	"number"	1497	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 55 to 59"	"number"	1080	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 60 to 64"	"number"	699	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 65 to 69"	"number"	482	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 70 to 74"	"number"	475	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 75 to 79"	"number"	353	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 80 to 84"	"number"	165	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North East"	"Age 85 and over"	"number"	56	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 0 to 4"	"number"	22710	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 5 to 7"	"number"	12549	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 8 to 9"	"number"	7816	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 10 to 14"	"number"	18147	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 15"	"number"	3498	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 16 to 17"	"number"	7068	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 18 to 19"	"number"	7620	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 20 to 24"	"number"	22616	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 25 to 29"	"number"	21967	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 30 to 34"	"number"	22301	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 35 to 39"	"number"	19379	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 40 to 44"	"number"	15053	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 45 to 49"	"number"	10043	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 50 to 54"	"number"	9178	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 55 to 59"	"number"	7611	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 60 to 64"	"number"	4370	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 65 to 69"	"number"	2997	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 70 to 74"	"number"	3228	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 75 to 79"	"number"	2134	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 80 to 84"	"number"	978	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"North West"	"Age 85 and over"	"number"	469	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 0 to 4"	"number"	21176	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 5 to 7"	"number"	11739	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 8 to 9"	"number"	7417	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 10 to 14"	"number"	16411	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 15"	"number"	3203	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 16 to 17"	"number"	6327	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 18 to 19"	"number"	6998	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 20 to 24"	"number"	20211	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	19801	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	20048	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	16701	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	12578	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	7424	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	7071	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	6544	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	3359	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 65 to 69"	"number"	2223	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 70 to 74"	"number"	2543	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 75 to 79"	"number"	1825	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 80 to 84"	"number"	978	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Yorkshire and The Humber"	"Age 85 and over"	"number"	442	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 0 to 4"	"number"	11348	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 5 to 7"	"number"	6388	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 8 to 9"	"number"	4044	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 10 to 14"	"number"	10304	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 15"	"number"	2213	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 16 to 17"	"number"	4443	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 18 to 19"	"number"	5356	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 20 to 24"	"number"	15978	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 25 to 29"	"number"	13709	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 30 to 34"	"number"	13469	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 35 to 39"	"number"	11732	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 40 to 44"	"number"	10062	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 45 to 49"	"number"	8466	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 50 to 54"	"number"	8234	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 55 to 59"	"number"	7271	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 60 to 64"	"number"	4701	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 65 to 69"	"number"	3036	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 70 to 74"	"number"	2675	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 75 to 79"	"number"	1760	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 80 to 84"	"number"	894	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East Midlands"	"Age 85 and over"	"number"	564	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 0 to 4"	"number"	29694	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 5 to 7"	"number"	17176	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 8 to 9"	"number"	10724	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 10 to 14"	"number"	25377	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 15"	"number"	4827	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 16 to 17"	"number"	9718	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 18 to 19"	"number"	10208	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 20 to 24"	"number"	29023	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 25 to 29"	"number"	30151	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 30 to 34"	"number"	29705	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 35 to 39"	"number"	26452	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 40 to 44"	"number"	21350	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 45 to 49"	"number"	14150	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 50 to 54"	"number"	12343	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 55 to 59"	"number"	11446	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 60 to 64"	"number"	6866	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 65 to 69"	"number"	4608	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 70 to 74"	"number"	4716	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 75 to 79"	"number"	3468	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 80 to 84"	"number"	2011	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"West Midlands"	"Age 85 and over"	"number"	1058	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 0 to 4"	"number"	12658	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 5 to 7"	"number"	6820	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 8 to 9"	"number"	4278	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 10 to 14"	"number"	9622	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 15"	"number"	1931	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 16 to 17"	"number"	4110	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 18 to 19"	"number"	4078	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 20 to 24"	"number"	12899	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 25 to 29"	"number"	14043	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 30 to 34"	"number"	15001	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 35 to 39"	"number"	13650	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 40 to 44"	"number"	10241	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 45 to 49"	"number"	7313	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 50 to 54"	"number"	6199	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 55 to 59"	"number"	5108	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 60 to 64"	"number"	3538	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 65 to 69"	"number"	2373	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 70 to 74"	"number"	2309	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 75 to 79"	"number"	1455	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 80 to 84"	"number"	699	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"East"	"Age 85 and over"	"number"	348	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 0 to 4"	"number"	58046	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 5 to 7"	"number"	31451	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 8 to 9"	"number"	18925	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 10 to 14"	"number"	46140	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 15"	"number"	9830	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 16 to 17"	"number"	19358	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 18 to 19"	"number"	21748	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 20 to 24"	"number"	77042	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 25 to 29"	"number"	91126	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 30 to 34"	"number"	86264	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 35 to 39"	"number"	68640	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 40 to 44"	"number"	52662	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 45 to 49"	"number"	41223	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 50 to 54"	"number"	37860	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 55 to 59"	"number"	31132	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 60 to 64"	"number"	21583	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 65 to 69"	"number"	15331	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 70 to 74"	"number"	15533	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 75 to 79"	"number"	10745	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 80 to 84"	"number"	5211	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"London"	"Age 85 and over"	"number"	2626	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 0 to 4"	"number"	19837	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 5 to 7"	"number"	10464	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 8 to 9"	"number"	5993	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 10 to 14"	"number"	15156	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 15"	"number"	3062	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 16 to 17"	"number"	6577	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 18 to 19"	"number"	6999	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 20 to 24"	"number"	20346	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 25 to 29"	"number"	22705	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 30 to 34"	"number"	24884	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 35 to 39"	"number"	22133	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 40 to 44"	"number"	17549	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 45 to 49"	"number"	12720	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 50 to 54"	"number"	10372	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 55 to 59"	"number"	8349	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 60 to 64"	"number"	5576	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 65 to 69"	"number"	3859	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 70 to 74"	"number"	3604	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 75 to 79"	"number"	2296	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 80 to 84"	"number"	1039	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South East"	"Age 85 and over"	"number"	511	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 0 to 4"	"number"	4119	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 5 to 7"	"number"	2160	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 8 to 9"	"number"	1237	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 10 to 14"	"number"	3290	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 15"	"number"	732	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 16 to 17"	"number"	1589	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 18 to 19"	"number"	2048	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 20 to 24"	"number"	6039	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 25 to 29"	"number"	5267	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 30 to 34"	"number"	5806	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 35 to 39"	"number"	5245	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 40 to 44"	"number"	4013	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 45 to 49"	"number"	2840	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 50 to 54"	"number"	2333	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 55 to 59"	"number"	1712	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 60 to 64"	"number"	1140	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 65 to 69"	"number"	714	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 70 to 74"	"number"	635	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 75 to 79"	"number"	460	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 80 to 84"	"number"	197	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"South West"	"Age 85 and over"	"number"	103	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 0 to 4"	"number"	3366	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 5 to 7"	"number"	1665	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 8 to 9"	"number"	947	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 10 to 14"	"number"	2360	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 15"	"number"	442	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 16 to 17"	"number"	996	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 18 to 19"	"number"	1187	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 20 to 24"	"number"	5184	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 25 to 29"	"number"	3823	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 30 to 34"	"number"	3532	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 35 to 39"	"number"	3473	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 40 to 44"	"number"	2678	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 45 to 49"	"number"	1759	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 50 to 54"	"number"	1484	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 55 to 59"	"number"	1058	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 60 to 64"	"number"	711	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 65 to 69"	"number"	510	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 70 to 74"	"number"	665	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 75 to 79"	"number"	324	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 80 to 84"	"number"	130	""
"All usual residents"	"Persons"	"2011"	"Males"	"Asian/Asian British: Total"	"Wales"	"Age 85 and over"	"number"	59	""
"All usual residents"	"Persons"	"2011"	"Males"	"Black/African/Caribbean/Black British: Total"	"North East"	"Age 0 to 4"	"number"	791	""
"All usual residents"	"Persons"	"2011"	"Males"	"Black/African/Caribbean/Black British: Total"	"North East"	"Age 5 to 7"	"number"	340	""
"All usual residents"	"Persons"	"2011"	"Males"	"Black/African/Caribbean/Black British: Total"	"North East"	"Age 8 to 9"	"number"	168	""
"All usual residents"	"Persons"	"2011"	"Males"	"Black/African/Caribbean/Black British: Total"	"North East"	"Age 10 to 14"	"number"	378	""
