"Population"	"Units"	"Date"	"Age"	"Ethnic Grou"	"region"	"Highest Level of Qualification"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"London"	"Level 1 qualifications"	"number"	67330	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"London"	"Level 2 qualifications"	"number"	84324	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"London"	"Apprenticeship"	"number"	7740	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"London"	"Level 3 qualifications"	"number"	93858	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"London"	"Level 4 qualifications and above"	"number"	558563	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"London"	"Other qualifications"	"number"	111361	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"No qualifications"	"number"	64295	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"Level 1 qualifications"	"number"	118635	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"Level 2 qualifications"	"number"	155212	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"Apprenticeship"	"number"	14121	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"Level 3 qualifications"	"number"	157792	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"Level 4 qualifications and above"	"number"	354871	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South East"	"Other qualifications"	"number"	47212	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"No qualifications"	"number"	39346	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"Level 1 qualifications"	"number"	72887	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"Level 2 qualifications"	"number"	100229	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"Apprenticeship"	"number"	10039	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"Level 3 qualifications"	"number"	105264	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"Level 4 qualifications and above"	"number"	206690	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"South West"	"Other qualifications"	"number"	23895	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"No qualifications"	"number"	36850	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"Level 1 qualifications"	"number"	46477	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"Level 2 qualifications"	"number"	60527	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"Apprenticeship"	"number"	5913	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"Level 3 qualifications"	"number"	59135	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"Level 4 qualifications and above"	"number"	114361	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"White: Total"	"Wales"	"Other qualifications"	"number"	10677	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"No qualifications"	"number"	444	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"Level 1 qualifications"	"number"	390	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"Level 2 qualifications"	"number"	501	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"Apprenticeship"	"number"	36	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"Level 3 qualifications"	"number"	422	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"Level 4 qualifications and above"	"number"	1226	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North East"	"Other qualifications"	"number"	204	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"No qualifications"	"number"	2135	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"Level 1 qualifications"	"number"	2013	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"Level 2 qualifications"	"number"	2529	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"Apprenticeship"	"number"	199	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"Level 3 qualifications"	"number"	2269	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"Level 4 qualifications and above"	"number"	5577	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"North West"	"Other qualifications"	"number"	923	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"No qualifications"	"number"	1851	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	1617	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	1857	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	158	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	1633	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	3618	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Yorkshire and The Humber"	"Other qualifications"	"number"	806	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"No qualifications"	"number"	1879	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 1 qualifications"	"number"	1847	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 2 qualifications"	"number"	1942	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"Apprenticeship"	"number"	136	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 3 qualifications"	"number"	1704	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"Level 4 qualifications and above"	"number"	3672	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East Midlands"	"Other qualifications"	"number"	810	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"No qualifications"	"number"	2757	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 1 qualifications"	"number"	2788	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 2 qualifications"	"number"	2957	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"Apprenticeship"	"number"	179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 3 qualifications"	"number"	2549	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"Level 4 qualifications and above"	"number"	4779	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"West Midlands"	"Other qualifications"	"number"	890	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"No qualifications"	"number"	1416	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"Level 1 qualifications"	"number"	2066	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"Level 2 qualifications"	"number"	2338	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"Apprenticeship"	"number"	161	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"Level 3 qualifications"	"number"	2072	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"Level 4 qualifications and above"	"number"	5490	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"East"	"Other qualifications"	"number"	1096	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"No qualifications"	"number"	5739	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"Level 1 qualifications"	"number"	6741	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"Level 2 qualifications"	"number"	7410	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"Apprenticeship"	"number"	550	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"Level 3 qualifications"	"number"	7705	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"Level 4 qualifications and above"	"number"	34565	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"London"	"Other qualifications"	"number"	6483	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"No qualifications"	"number"	1836	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"Level 1 qualifications"	"number"	2638	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"Level 2 qualifications"	"number"	3015	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"Apprenticeship"	"number"	248	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"Level 3 qualifications"	"number"	3020	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"Level 4 qualifications and above"	"number"	8775	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South East"	"Other qualifications"	"number"	1459	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"No qualifications"	"number"	952	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"Level 1 qualifications"	"number"	1275	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"Level 2 qualifications"	"number"	1550	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"Apprenticeship"	"number"	106	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"Level 3 qualifications"	"number"	1435	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"Level 4 qualifications and above"	"number"	3799	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"South West"	"Other qualifications"	"number"	732	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"No qualifications"	"number"	682	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"Level 1 qualifications"	"number"	599	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"Level 2 qualifications"	"number"	705	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"Apprenticeship"	"number"	35	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"Level 3 qualifications"	"number"	615	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"Level 4 qualifications and above"	"number"	1484	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Mixed/multiple ethnic group"	"Wales"	"Other qualifications"	"number"	258	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"No qualifications"	"number"	2026	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"Level 1 qualifications"	"number"	1475	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"Level 2 qualifications"	"number"	1188	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"Apprenticeship"	"number"	78	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"Level 3 qualifications"	"number"	1053	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"Level 4 qualifications and above"	"number"	7752	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North East"	"Other qualifications"	"number"	2372	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"No qualifications"	"number"	13204	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"Level 1 qualifications"	"number"	10945	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"Level 2 qualifications"	"number"	8216	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"Apprenticeship"	"number"	415	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"Level 3 qualifications"	"number"	7340	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"Level 4 qualifications and above"	"number"	36217	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"North West"	"Other qualifications"	"number"	12452	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"No qualifications"	"number"	15134	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	10913	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 2 qualifications"	"number"	7931	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"Apprenticeship"	"number"	413	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 3 qualifications"	"number"	6814	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"Level 4 qualifications and above"	"number"	28075	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Yorkshire and The Humber"	"Other qualifications"	"number"	10189	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"No qualifications"	"number"	6090	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"Level 1 qualifications"	"number"	5903	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"Level 2 qualifications"	"number"	4857	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"Apprenticeship"	"number"	214	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"Level 3 qualifications"	"number"	4660	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"Level 4 qualifications and above"	"number"	25462	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East Midlands"	"Other qualifications"	"number"	7165	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"No qualifications"	"number"	19096	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"Level 1 qualifications"	"number"	14933	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"Level 2 qualifications"	"number"	11815	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"Apprenticeship"	"number"	589	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"Level 3 qualifications"	"number"	11311	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"Level 4 qualifications and above"	"number"	47157	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"West Midlands"	"Other qualifications"	"number"	14991	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"No qualifications"	"number"	5373	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"Level 1 qualifications"	"number"	5179	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"Level 2 qualifications"	"number"	4523	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"Apprenticeship"	"number"	252	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"Level 3 qualifications"	"number"	4456	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"Level 4 qualifications and above"	"number"	31264	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"East"	"Other qualifications"	"number"	8275	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"No qualifications"	"number"	23537	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"Level 1 qualifications"	"number"	25734	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"Level 2 qualifications"	"number"	23247	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"Apprenticeship"	"number"	1078	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"Level 3 qualifications"	"number"	25650	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"Level 4 qualifications and above"	"number"	203469	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"London"	"Other qualifications"	"number"	44393	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"No qualifications"	"number"	6975	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"Level 1 qualifications"	"number"	8145	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"Level 2 qualifications"	"number"	7089	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"Apprenticeship"	"number"	497	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"Level 3 qualifications"	"number"	7344	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"Level 4 qualifications and above"	"number"	53180	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South East"	"Other qualifications"	"number"	14295	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"No qualifications"	"number"	1662	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"Level 1 qualifications"	"number"	1663	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"Level 2 qualifications"	"number"	1532	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"Apprenticeship"	"number"	100	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"Level 3 qualifications"	"number"	1606	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"Level 4 qualifications and above"	"number"	11954	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"South West"	"Other qualifications"	"number"	4177	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"No qualifications"	"number"	1839	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"Level 1 qualifications"	"number"	1215	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"Level 2 qualifications"	"number"	1022	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"Apprenticeship"	"number"	50	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"Level 3 qualifications"	"number"	942	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"Level 4 qualifications and above"	"number"	7050	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Asian/Asian British"	"Wales"	"Other qualifications"	"number"	2284	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"No qualifications"	"number"	302	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"Level 1 qualifications"	"number"	339	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"Level 2 qualifications"	"number"	428	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"Apprenticeship"	"number"	30	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"Level 3 qualifications"	"number"	301	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"Level 4 qualifications and above"	"number"	1685	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North East"	"Other qualifications"	"number"	429	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"No qualifications"	"number"	2074	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"Level 1 qualifications"	"number"	2205	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"Level 2 qualifications"	"number"	2626	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"Apprenticeship"	"number"	151	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"Level 3 qualifications"	"number"	1999	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"Level 4 qualifications and above"	"number"	7720	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"North West"	"Other qualifications"	"number"	2046	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"No qualifications"	"number"	1876	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Age 25 to 34"	"Black/African/Caribbean/Black British"	"Yorkshire and The Humber"	"Level 1 qualifications"	"number"	2153	""
