"Population"	"Units"	"Date"	"Sex"	"Highest Level of Qualificatio"	"region"	"Age"	"value type"	"value"	"flag"
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 30 to 34"	"number"	4454	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 35 to 39"	"number"	7723	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 40 to 44"	"number"	11102	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 45 to 49"	"number"	16765	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 50 to 54"	"number"	20190	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 55 to 59"	"number"	21891	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 60 to 64"	"number"	26515	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"North West"	"Age 65 and over"	"number"	65376	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 16 to 18"	"number"	3642	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 19 to 24"	"number"	11062	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	5148	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	3898	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	6422	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	9155	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	14389	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	18108	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	18161	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	21218	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Yorkshire and The Humber"	"Age 65 and over"	"number"	49051	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 16 to 18"	"number"	2585	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 19 to 24"	"number"	7717	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 25 to 29"	"number"	3751	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 30 to 34"	"number"	2740	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 35 to 39"	"number"	4922	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 40 to 44"	"number"	7391	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 45 to 49"	"number"	12131	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 50 to 54"	"number"	14312	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 55 to 59"	"number"	15396	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 60 to 64"	"number"	17640	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East Midlands"	"Age 65 and over"	"number"	41437	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 16 to 18"	"number"	3143	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 19 to 24"	"number"	9026	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 25 to 29"	"number"	4578	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 30 to 34"	"number"	3173	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 35 to 39"	"number"	4922	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 40 to 44"	"number"	6976	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 45 to 49"	"number"	11469	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 50 to 54"	"number"	14112	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 55 to 59"	"number"	15280	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 60 to 64"	"number"	16667	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"West Midlands"	"Age 65 and over"	"number"	41231	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 16 to 18"	"number"	2853	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 19 to 24"	"number"	8800	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 25 to 29"	"number"	4597	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 30 to 34"	"number"	3414	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 35 to 39"	"number"	6051	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 40 to 44"	"number"	9327	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 45 to 49"	"number"	13855	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 50 to 54"	"number"	15692	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 55 to 59"	"number"	16718	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 60 to 64"	"number"	19789	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"East"	"Age 65 and over"	"number"	49809	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 16 to 18"	"number"	2106	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 19 to 24"	"number"	7275	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 25 to 29"	"number"	4530	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 30 to 34"	"number"	3616	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 35 to 39"	"number"	4340	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 40 to 44"	"number"	6019	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 45 to 49"	"number"	8789	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 50 to 54"	"number"	9630	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 55 to 59"	"number"	8949	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 60 to 64"	"number"	9495	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"London"	"Age 65 and over"	"number"	23026	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 16 to 18"	"number"	3588	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 19 to 24"	"number"	11742	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 25 to 29"	"number"	6749	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 30 to 34"	"number"	5078	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 35 to 39"	"number"	8424	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 40 to 44"	"number"	13096	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 45 to 49"	"number"	20116	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 50 to 54"	"number"	22498	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 55 to 59"	"number"	23304	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 60 to 64"	"number"	27184	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South East"	"Age 65 and over"	"number"	70938	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 16 to 18"	"number"	2942	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 19 to 24"	"number"	9859	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 25 to 29"	"number"	4855	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 30 to 34"	"number"	3415	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 35 to 39"	"number"	5947	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 40 to 44"	"number"	8994	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 45 to 49"	"number"	12853	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 50 to 54"	"number"	15373	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 55 to 59"	"number"	16999	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 60 to 64"	"number"	21318	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"South West"	"Age 65 and over"	"number"	56145	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 16 to 18"	"number"	1627	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 19 to 24"	"number"	5722	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 25 to 29"	"number"	2781	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 30 to 34"	"number"	2365	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 35 to 39"	"number"	3605	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 40 to 44"	"number"	4977	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 45 to 49"	"number"	7376	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 50 to 54"	"number"	9326	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 55 to 59"	"number"	10117	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 60 to 64"	"number"	11995	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Apprenticeship"	"Wales"	"Age 65 and over"	"number"	28057	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 16 to 18"	"number"	5858	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 19 to 24"	"number"	36999	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 25 to 29"	"number"	15083	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 30 to 34"	"number"	12965	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 35 to 39"	"number"	11112	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 40 to 44"	"number"	10897	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 45 to 49"	"number"	11349	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 50 to 54"	"number"	10856	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 55 to 59"	"number"	9045	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 60 to 64"	"number"	7651	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North East"	"Age 65 and over"	"number"	9743	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 16 to 18"	"number"	15585	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 19 to 24"	"number"	89467	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 25 to 29"	"number"	40740	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 30 to 34"	"number"	34215	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 35 to 39"	"number"	30411	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 40 to 44"	"number"	30178	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 45 to 49"	"number"	30650	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 50 to 54"	"number"	27380	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 55 to 59"	"number"	22815	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 60 to 64"	"number"	19506	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"North West"	"Age 65 and over"	"number"	29757	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 16 to 18"	"number"	12203	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 19 to 24"	"number"	75862	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 25 to 29"	"number"	29016	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 30 to 34"	"number"	25039	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 35 to 39"	"number"	23141	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 40 to 44"	"number"	22107	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 45 to 49"	"number"	21617	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 50 to 54"	"number"	19934	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 55 to 59"	"number"	16186	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 60 to 64"	"number"	14202	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Yorkshire and The Humber"	"Age 65 and over"	"number"	19741	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 16 to 18"	"number"	10339	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 19 to 24"	"number"	60686	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 25 to 29"	"number"	23750	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 30 to 34"	"number"	21967	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 35 to 39"	"number"	20285	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 40 to 44"	"number"	19911	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 45 to 49"	"number"	19432	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 50 to 54"	"number"	17100	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 55 to 59"	"number"	14264	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 60 to 64"	"number"	13075	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East Midlands"	"Age 65 and over"	"number"	18951	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 16 to 18"	"number"	12719	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 19 to 24"	"number"	67011	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 25 to 29"	"number"	28245	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 30 to 34"	"number"	24995	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 35 to 39"	"number"	22924	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 40 to 44"	"number"	22405	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 45 to 49"	"number"	22008	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 50 to 54"	"number"	19336	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 55 to 59"	"number"	16425	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 60 to 64"	"number"	14370	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"West Midlands"	"Age 65 and over"	"number"	23190	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 16 to 18"	"number"	11823	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 19 to 24"	"number"	57706	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 25 to 29"	"number"	30310	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 30 to 34"	"number"	27787	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 35 to 39"	"number"	25247	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 40 to 44"	"number"	24406	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 45 to 49"	"number"	24591	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 50 to 54"	"number"	22140	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 55 to 59"	"number"	17792	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 60 to 64"	"number"	16253	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"East"	"Age 65 and over"	"number"	24931	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 16 to 18"	"number"	18939	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 19 to 24"	"number"	95303	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 25 to 29"	"number"	40570	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 30 to 34"	"number"	35758	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 35 to 39"	"number"	27935	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 40 to 44"	"number"	25850	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 45 to 49"	"number"	25151	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 50 to 54"	"number"	20906	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 55 to 59"	"number"	15860	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 60 to 64"	"number"	12451	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"London"	"Age 65 and over"	"number"	19466	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 16 to 18"	"number"	20572	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 19 to 24"	"number"	103843	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 25 to 29"	"number"	44249	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 30 to 34"	"number"	40553	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 35 to 39"	"number"	36541	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 40 to 44"	"number"	36477	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 45 to 49"	"number"	37884	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 50 to 54"	"number"	33303	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 55 to 59"	"number"	27081	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 60 to 64"	"number"	25071	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South East"	"Age 65 and over"	"number"	41245	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 16 to 18"	"number"	11406	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 19 to 24"	"number"	69256	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 25 to 29"	"number"	29381	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 30 to 34"	"number"	25732	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 35 to 39"	"number"	23160	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 40 to 44"	"number"	22521	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 45 to 49"	"number"	22772	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 50 to 54"	"number"	20929	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 55 to 59"	"number"	18034	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 60 to 64"	"number"	17266	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"South West"	"Age 65 and over"	"number"	28578	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 16 to 18"	"number"	6106	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 19 to 24"	"number"	40483	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 25 to 29"	"number"	16803	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 30 to 34"	"number"	14337	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 35 to 39"	"number"	12390	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 40 to 44"	"number"	12101	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 45 to 49"	"number"	11930	""
"All usual residents aged 16 and over"	"Persons"	"2011"	"Males"	"Level 3 qualifications"	"Wales"	"Age 50 to 54"	"number"	10726	""
